name,gst,pst,hst
Ontario,0.0,0.0,0.13
Québec,0.05,0.09975,0.0
British Columbia,0.05,0.07,0.0
Alberta,0.05,0.0,0.0
Manitoba,0.05,0.07,0.0
Nova Scotia,0.0,0.0,0.15
Saskatchewan,0.05,0.06,0.0
Newfoundland and Labrador,0.0,0.0,0.15
New Brunswick,0.0,0.0,0.15
Prince Edward Island,0.0,0.0,0.15
Yukon,0.05,0.0,0.0
Northwest Territories,0.05,0.0,0.0
Nunavut,0.05,0.0,0.0
